velocity,relative_power,axis
100.0,146039446.26554126,b
110.0,140143762.04783553,b
120.0,141420083.95098025,b
130.0,143609879.7173352,b
140.0,255210327.22175223,b
150.0,257388022.87422332,b
160.0,158777894.91140297,b
170.0,195973225.56481346,b
180.0,1772815233.1115978,b
190.0,2182030231.849587,b
200.0,1804829292.9897594,b
210.0,1558289281.9918368,b
220.0,1027924946.3100082,b
230.0,921404057.5961325,b
240.0,166625948.52186108,b
250.0,279055154.4691022,b
260.0,194124721.89948243,b
270.0,183462032.252158,b
280.0,191463772.08434832,b
290.0,182844939.29741156,b
300.0,199955050.25127104,b
